id,nombre_oficial,alias_busqueda,categoria,ciudad,tipo_busqueda,prioridad,lat,lng,fuente,notas
145,Km 14,km 14,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
146,Km 14,km14,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
147,Km 15,km 15,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
148,Km 15,km15,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
149,Km 16,km 16,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
150,Km 16,km16,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
151,Km 18,km 18,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
152,Km 18,km18,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
153,Km 20,km 20,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
154,Km 20,km20,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
155,Kilometro 1,km 1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
156,Kilometro 1,km1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
157,Kilometro 1,kilometro 1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
158,Kilometro 1,k 1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
159,Kilometro 1,k1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
160,Kilometro 1,kilometro1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
161,Kilometro 1,1,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
162,Kilometro 1 Monday,km 1 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
163,Kilometro 1 Monday,km1 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
164,Kilometro 1 Monday,1 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
165,Kilometro 1 Monday,kilometro 1 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
166,Kilometro 1 Acaray,km 1 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
167,Kilometro 1 Acaray,km1 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
168,Kilometro 1 Acaray,1 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
169,Kilometro 1 Acaray,kilometro 1 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
170,Kilometro 1 Ruta Py02,km 1 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
171,Kilometro 1 Ruta Py02,km1 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
172,Kilometro 1 Ruta Py02,1 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
173,Kilometro 1 Ruta Py02,kilometro 1 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
174,Kilometro 1 Ruta 2,km 1 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
175,Kilometro 1 Ruta 2,km1 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
176,Kilometro 1 Ruta 2,1 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
177,Kilometro 1 Ruta 2,kilometro 1 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
178,Kilometro 1 Supercarretera,km 1 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
179,Kilometro 1 Supercarretera,km1 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
180,Kilometro 1 Supercarretera,1 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
181,Kilometro 1 Supercarretera,kilometro 1 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
182,Kilometro 1 Avenida San Blas,km 1 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
183,Kilometro 1 Avenida San Blas,km1 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
184,Kilometro 1 Avenida San Blas,1 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
185,Kilometro 1 Avenida San Blas,kilometro 1 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
186,Kilometro 2,km 2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
187,Kilometro 2,km2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
188,Kilometro 2,kilometro 2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
189,Kilometro 2,k 2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
190,Kilometro 2,k2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
191,Kilometro 2,kilometro2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
192,Kilometro 2,2,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
193,Kilometro 2 Monday,km 2 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
194,Kilometro 2 Monday,km2 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
195,Kilometro 2 Monday,2 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
196,Kilometro 2 Monday,kilometro 2 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
197,Kilometro 2 Acaray,km 2 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
198,Kilometro 2 Acaray,km2 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
199,Kilometro 2 Acaray,2 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
200,Kilometro 2 Acaray,kilometro 2 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
201,Kilometro 2 Ruta Py02,km 2 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
202,Kilometro 2 Ruta Py02,km2 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
203,Kilometro 2 Ruta Py02,2 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
204,Kilometro 2 Ruta Py02,kilometro 2 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
205,Kilometro 2 Ruta 2,km 2 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
206,Kilometro 2 Ruta 2,km2 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
207,Kilometro 2 Ruta 2,2 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
208,Kilometro 2 Ruta 2,kilometro 2 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
209,Kilometro 2 Supercarretera,km 2 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
210,Kilometro 2 Supercarretera,km2 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
211,Kilometro 2 Supercarretera,2 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
212,Kilometro 2 Supercarretera,kilometro 2 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
213,Kilometro 2 Avenida San Blas,km 2 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
214,Kilometro 2 Avenida San Blas,km2 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
215,Kilometro 2 Avenida San Blas,2 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
216,Kilometro 2 Avenida San Blas,kilometro 2 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
217,Kilometro 3,km 3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
218,Kilometro 3,km3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
219,Kilometro 3,kilometro 3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
220,Kilometro 3,k 3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
221,Kilometro 3,k3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
222,Kilometro 3,kilometro3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
223,Kilometro 3,3,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
224,Kilometro 3 Monday,km 3 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
225,Kilometro 3 Monday,km3 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
226,Kilometro 3 Monday,3 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
227,Kilometro 3 Monday,kilometro 3 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
228,Kilometro 3 Acaray,km 3 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
229,Kilometro 3 Acaray,km3 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
230,Kilometro 3 Acaray,3 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
231,Kilometro 3 Acaray,kilometro 3 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
232,Kilometro 3 Ruta Py02,km 3 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
233,Kilometro 3 Ruta Py02,km3 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
234,Kilometro 3 Ruta Py02,3 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
235,Kilometro 3 Ruta Py02,kilometro 3 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
236,Kilometro 3 Ruta 2,km 3 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
237,Kilometro 3 Ruta 2,km3 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
238,Kilometro 3 Ruta 2,3 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
239,Kilometro 3 Ruta 2,kilometro 3 ruta 2,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
240,Kilometro 3 Supercarretera,km 3 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
241,Kilometro 3 Supercarretera,km3 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
242,Kilometro 3 Supercarretera,3 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
243,Kilometro 3 Supercarretera,kilometro 3 supercarretera,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
244,Kilometro 3 Avenida San Blas,km 3 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
245,Kilometro 3 Avenida San Blas,km3 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
246,Kilometro 3 Avenida San Blas,3 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
247,Kilometro 3 Avenida San Blas,kilometro 3 avenida san blas,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
248,Kilometro 4,km 4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
249,Kilometro 4,km4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
250,Kilometro 4,kilometro 4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
251,Kilometro 4,k 4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
252,Kilometro 4,k4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
253,Kilometro 4,kilometro4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
254,Kilometro 4,4,km,Ciudad del Este,km,80,,,generado_por_regla,KM genérico
255,Kilometro 4 Monday,km 4 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
256,Kilometro 4 Monday,km4 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
257,Kilometro 4 Monday,4 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
258,Kilometro 4 Monday,kilometro 4 monday,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
259,Kilometro 4 Acaray,km 4 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
260,Kilometro 4 Acaray,km4 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
261,Kilometro 4 Acaray,4 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
262,Kilometro 4 Acaray,kilometro 4 acaray,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
263,Kilometro 4 Ruta Py02,km 4 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
264,Kilometro 4 Ruta Py02,km4 ruta py02,km_lado,Ciudad del Este,km_lado,88,,,generado_por_regla,Combinación km + lado local
